AB_category	sample	sum_abund	f_groups
phenicol	Tomsk_2014_02_28_1_L02_L03_merg_41_50trimmed_T_F3	2.43020466010645e-08	antibiotic resistance
phenicol	SRR413767merged	3.68154096326499e-09	antibiotic resistance
phenicol	176_317_mix_20111217_FRAG_BC_176_317_mix_F3_176	4.42250474589044e-08	antibiotic resistance
phenicol	SRR413773merged	3.22776394190958e-09	antibiotic resistance
phenicol	SRS011134	4.63739461054694e-09	antibiotic resistance
phenicol	SRR413568merged	1.26834333770724e-07	antibiotic resistance
phenicol	MH0016_090120	2.55703290398866e-09	antibiotic resistance
phenicol	SRR413745merged	1.13377508954701e-07	antibiotic resistance
phenicol	SRR413603merged	9.33559834098e-08	antibiotic resistance
phenicol	MH0069_090125	7.11305104657247e-09	antibiotic resistance
phenicol	Tomsk_2014_02_28_1_L02_L03_merg_35_50trimmed_T_F3	7.39231621615825e-09	antibiotic resistance
phenicol	211_251_20111102_FRAG_BC_211_251_F3_212	5.5518023931191e-08	antibiotic resistance
phenicol	232_250_20111116_FRAG_BC_232_250_F3_245	9.16308690505743e-09	antibiotic resistance
phenicol	SRR413587merged	4.70385047404888e-09	antibiotic resistance
phenicol	Tomsk_2014_02_28_1_L02_L03_merg_38_50trimmed_T_F3	2.5951178421148e-07	antibiotic resistance
phenicol	MH0033_090122	6.4404493247662e-09	antibiotic resistance
phenicol	Tomsk_2014_02_28_1_L02_L03_merg_34_50trimmed_T_F3	2.08586106947428e-07	antibiotic resistance
phenicol	MH0062_090104	7.43761882834156e-09	antibiotic resistance
phenicol	SRR413612merged	7.78711786087744e-08	antibiotic resistance
phenicol	SRR413701merged	9.44786961240562e-08	antibiotic resistance
phenicol	Tomsk_2014_02_28_1_L02_L03_merg_26_50trimmed_T_F3	1.17537363888101e-07	antibiotic resistance
phenicol	Tomsk_2014_02_28_1_L01_07_50trimmed_T_F3	2.16913359274752e-08	antibiotic resistance
phenicol	77_Omsk_20120215_FRAG_BC_77_Omsk_F3_184	4.43323343719908e-08	antibiotic resistance
phenicol	MH0061_090126	2.24052083392178e-08	antibiotic resistance
phenicol	SRR413619merged	1.0355385256398e-08	antibiotic resistance
phenicol	280_287_20111115_FRAG_BC_280_287_F3_287	2.39870873851146e-08	antibiotic resistance
phenicol	kazan5500_2014_03_31_1_L01_24BR_50trimmed_T_F3	1.8640836433682e-08	antibiotic resistance
phenicol	SRR413596merged	9.41024947749867e-10	antibiotic resistance
phenicol	261_268_20111115_FRAG_BC_261_268_F3_263	6.92558900724729e-09	antibiotic resistance
